id,code,name,severity,description,match_patterns,match_priority,data_source_ids,created_at,updated_at,created_by,updated_by
1b581bdc-e545-5f59-b4d1-0bebc3d4e2e2,PRINCIPAL_PROPAGATION_FAILED,Principal Propagation Failed,high,The runtime could not forward the caller identity to the backend. Enable principal propagation on the destination and confirm the user exists in the target tenant.,"[""principaltoken"", ""getsamltoken"", ""could not find any user to be propagated"", ""unable to map .* to a valid bizx user""]",50,"{b9e4d2c3-7f5a-4b0d-a032-8c6e1f9b4d25,55313a88-a6c5-4a91-ac01-4423f8579eae}",2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
17cdb904-01a8-526a-8e30-6386748a2f0d,SFTP_HOST_KEY_UNTRUSTED,SFTP Host Key Untrusted,high,The SFTP server host key is unknown or changed since it was last trusted. Re-import the current host key into the known-hosts store after verifying the fingerprint.,"[""hostkey"", ""known_?hosts""]",140,{55313a88-a6c5-4a91-ac01-4423f8579eae},2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
e9beb580-4656-5bb0-8342-54e276fd1352,UNCLASSIFIED_ERROR,Unclassified Error,medium,No family pattern matched this failure yet. Review the message and add a family pattern so it groups correctly next time.,"["".*""]",999000,"{c3f1a9d2-5b47-4e08-9a61-7d2e4f8b3c15,a5b9d3f2-7c4e-4f0a-b268-9d1e3f5c7a42,d8f2b0c5-3e9a-4d4b-af67-2a1c9e5b8d30,b9e4d2c3-7f5a-4b0d-a032-8c6e1f9b4d25,524e658b-f080-4936-a76c-1d8d997f6f85,45773472-ab06-4cd2-9687-dfcb31ae9419,55313a88-a6c5-4a91-ac01-4423f8579eae,98338a40-4d04-4775-a0a4-1c793351bafc,d5de8c01-6479-4924-867c-cfa39bf3ec34}",2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
4fc3bf67-50be-51cc-af8e-f311da31402a,CLIENT_REQUEST_ABORTED,Client Request Aborted,low,The caller disconnected before the response was written. Align the caller timeout with observed processing time; safe to ignore if isolated.,"[""errorinfo_client_closed_request"", ""error"", ""adapter"", ""http"", ""exception"", ""httpresponseexception"", ""internal"", ""failed""]",170,"{c3f1a9d2-5b47-4e08-9a61-7d2e4f8b3c15,55313a88-a6c5-4a91-ac01-4423f8579eae}",2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
d4ae78eb-2a72-5ba9-8e84-7c486364db60,UPSTREAM_SERVICE_UNAVAILABLE,Upstream Service Unavailable,high,The upstream service returned an unavailable or maintenance response. Retry after the maintenance window and align the schedule with the provider status page.,"[""errorinfo_upstream_closed_connection"", ""error"", ""connection"", ""errorinfo_upstream_timed_out"", ""service"", ""unavailable"", ""http"", ""gateway"", ""core"", ""component"", ""odata"", ""exception"", ""apache"", ""camel"", ""camelexception""]",160,"{c3f1a9d2-5b47-4e08-9a61-7d2e4f8b3c15,45773472-ab06-4cd2-9687-dfcb31ae9419,55313a88-a6c5-4a91-ac01-4423f8579eae}",2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
294b43fd-5b86-50aa-b6ec-bca0fa6afa38,UNAUTHORIZED_REQUEST,Unauthorized Request,high,The request reached the target but carried no valid authentication context. Check that the calling flow attaches credentials and that the token has not expired.,"[""http_401"", ""gateway"", ""core"", ""component"", ""odata"", ""exception"", ""unauthorized""]",40,"{c3f1a9d2-5b47-4e08-9a61-7d2e4f8b3c15,b9e4d2c3-7f5a-4b0d-a032-8c6e1f9b4d25,55313a88-a6c5-4a91-ac01-4423f8579eae}",2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
5ff1bb60-ffbd-5a5f-9a58-d2f80a85a851,SFTP_CONNECTION_FAILED,SFTP Connection Failed,high,"The file-transfer session to the SFTP or SMB server could not be established. Verify server reachability, credentials, and that the runtime egress IPs are allow-listed.","[""cannot"", ""connect"", ""sftp"", ""user"", ""host"", ""could"", ""server"", ""please"", ""could not"", ""successfully"", ""read"", ""file"", ""demoattributeimportws"", ""from"", ""error""]",150,"{a5b9d3f2-7c4e-4f0a-b268-9d1e3f5c7a42,524e658b-f080-4936-a76c-1d8d997f6f85,45773472-ab06-4cd2-9687-dfcb31ae9419,55313a88-a6c5-4a91-ac01-4423f8579eae}",2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
e7da90b4-23d7-5611-ba40-4410785c93c7,JOB_EXECUTION_FAILED,Job Execution Failed,high,The job or integration run ended in a failed state without a more specific cause. Open the run log for the failing step to get the underlying error.,"[""failed"", ""network"", ""issue"", ""click"", ""text"", ""download"", ""error"", ""details"", ""integration"", ""number"", ""source"", ""pages"", ""fidelity"", ""401k"", ""contributions""]",570,"{a5b9d3f2-7c4e-4f0a-b268-9d1e3f5c7a42,524e658b-f080-4936-a76c-1d8d997f6f85,45773472-ab06-4cd2-9687-dfcb31ae9419,55313a88-a6c5-4a91-ac01-4423f8579eae}",2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
27cd9601-b94e-5d35-8c61-7514f7c43cbd,RUN_DIAGNOSTIC_EVENT,Run Diagnostic Event,low,An informational run event captured alongside the failure payload. No action required; useful as timeline context around the real failure.,"[""records"", ""processing"", ""completed"", ""mins"", ""msecs"", ""read"", ""secs"", ""msec"", ""access"", ""logging"", ""been"", ""performed"", ""vendor"", ""info"", ""record""]",580,"{a5b9d3f2-7c4e-4f0a-b268-9d1e3f5c7a42,524e658b-f080-4936-a76c-1d8d997f6f85,45773472-ab06-4cd2-9687-dfcb31ae9419}",2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
d426da3a-55ff-59bd-8f7e-96ffa706e790,HTTP_REQUEST_FAILED,HTTP Request Failed,high,"An outbound HTTP call returned a non-success status. Inspect the returned status and body, then confirm the endpoint path and API version.","[""http"", ""gateway"", ""core"", ""component"", ""odata"", ""exception"", ""error"", ""response"", ""code"", ""message"", ""failed"", ""httpoperationfailedexception"", ""operation"", ""invoking"", ""https""]",190,"{d8f2b0c5-3e9a-4d4b-af67-2a1c9e5b8d30,b9e4d2c3-7f5a-4b0d-a032-8c6e1f9b4d25,524e658b-f080-4936-a76c-1d8d997f6f85,45773472-ab06-4cd2-9687-dfcb31ae9419,55313a88-a6c5-4a91-ac01-4423f8579eae}",2026-08-06 11:58:16.823 +0530,2026-08-06 11:58:16.823 +0530,system,system
